Master;Type;Source;Buckets;Template_Name;Date;version
15;D;15_9;15_Electrique_CC1O_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1O_V47;17/6/2020;47
15;W;WEB_15_9;15_Electrique_CC1O_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1O_V47;17/6/2020;47
15;D;15_6;15_Vapeur_CV0_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Vapeur_CV0_V47;17/6/2020;47
15;W;WEB_15_6;15_Vapeur_CV0_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Vapeur_CV0_V47;17/6/2020;47
15;D;15_2;15_Vapeur_CV01_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Vapeur_CV01_V47;17/6/2020;47
15;W;WEB_15_2;15_Vapeur_CV01_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Vapeur_CV01_V47;17/6/2020;47
15;D;15_1;15_Vapeur_CV02_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Vapeur_CV02_V47;17/6/2020;47
15;W;WEB_15_1;15_Vapeur_CV02_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Vapeur_CV02_V47;17/6/2020;47
15;D;15_2;15_Vapeur_CV1_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Vapeur_CV1_V47;17/6/2020;47
15;W;WEB_15_2;15_Vapeur_CV1_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Vapeur_CV1_V47;17/6/2020;47
15;D;15_6;15_Vapeur_CVA_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Vapeur_CVA_V47;17/6/2020;47
15;W;WEB_15_6;15_Vapeur_CVA_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Vapeur_CVA_V47;17/6/2020;47
15;D;15_3;15_Vapeur_CVB_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Vapeur_CVB_V47;17/6/2020;47
15;W;WEB_15_3;15_Vapeur_CVB_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Vapeur_CVB_V47;17/6/2020;47
15;D;15_7;15_Vapeur_CV1O_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Vapeur_CV1O_V47;17/6/2020;47
15;W;WEB_15_7;15_Vapeur_CV1O_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Vapeur_CV1O_V47;17/6/2020;47
15;D;15_4;15_Gaz_CG0_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Gaz_CG0_V47;17/6/2020;47
15;W;WEB_15_4;15_Gaz_CG0_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Gaz_CG0_V47;17/6/2020;47
15;D;15_4;15_Gaz_CG01_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Gaz_CG01_V47;17/6/2020;47
15;W;WEB_15_4;15_Gaz_CG01_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Gaz_CG01_V47;17/6/2020;47
15;D;15_1;15_Gaz_CG02_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Gaz_CG02_V47;17/6/2020;47
15;W;WEB_15_1;15_Gaz_CG02_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Gaz_CG02_V47;17/6/2020;47
15;D;15_3;15_Gaz_CG1_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Gaz_CG1_V47;17/6/2020;47
15;W;WEB_15_3;15_Gaz_CG1_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Gaz_CG1_V47;17/6/2020;47
